key,term,definition,same_as,uri
basilica,basilica,"A basilica as defined by the Getty Art and Architecture Thesaurus: ""Refers to religious or secular buildings characterized by an oblong plan divided into a nave with two or more side aisles, the former higher and wider than the latter and generally lit by clerestory windows; usually terminated by an apse.""",,https://pleiades.stoa.org/vocabularies/place-types/basilica
bath,"bath, spa",Bath complexes as commonly found in Greek and Roman cities.,,https://pleiades.stoa.org/vocabularies/place-types/bath
battlefield,battlefield,A battlefield as defined by the Getty Art and Architecture Thesaurus: Locations where a hostile meetings of opposing military forces in the course of a war have taken place.,,https://pleiades.stoa.org/vocabularies/place-types/battlefield
bay,bay,"A bay as defined by the Getty Art and Architecture Thesaurus: ""Denotes wide, open, curving indentations of a shoreline, larger than coves and smaller than gulfs.""",,https://pleiades.stoa.org/vocabularies/place-types/bay
bridge,bridge,"A bridge as defined by the Getty Art and Architecture Thesaurus: Structures spanning and providing passage over waterways, topographic depressions, transportation routes, or similar circulation barriers.",,https://pleiades.stoa.org/vocabularies/place-types/bridge
brothel,brothel,A brothel as defined by the Getty Art and Architecture Thesaurus: Buildings designed or maintained as houses of prostitution.,,https://pleiades.stoa.org/vocabularies/place-types/brothel
building,building,"A building as defined in WikiData Q41176: a structure, typically with a roof and walls, standing more or less permanently in one place",,https://pleiades.stoa.org/vocabularies/place-types/building
cairn,cairn,"A cairn as defined by the Getty Art and Architecture Thesaurus term 300006960: ""Ancient landmarks, monuments, memorials, or burial places covered with stones or a large mound of earth, specific to Scotland, Ireland, and Wales"".",,https://pleiades.stoa.org/vocabularies/place-types/cairn
canal,canal,A canal as defined by the Getty Art and Architecture Thesaurus: Artificial navigable waterways.,,https://pleiades.stoa.org/vocabularies/place-types/canal
canyon,canyon,"A canyon (fluvial landform) as defined by the Getty Art and Architecture Thesaurus: Deep, steep-sided land depressions, often having a river at the bottom; common to arid and semi-arid areas. Distinct from ""valleys (landforms),"" which tend to have a flattish landscape rather than high, precipitous slopes. Distinct from ""gorges (landforms),"" which tend to be smaller, narrower, and more rocky.",,https://pleiades.stoa.org/vocabularies/place-types/canyon
cape,"cape, promontory, promuntory","A cape as defined by the Getty Art and Archaeology Thesaurus: ""Land areas, more prominent than a point, projecting into the sea and marking a notable change in coastal direction.""",,https://pleiades.stoa.org/vocabularies/place-types/cape
cascade,cascade,"A cascade as defined by the Getty Art and Architecture Thesaurus: Man-made stepped waterfalls, whether naturalistic or architectural in form.",,https://pleiades.stoa.org/vocabularies/place-types/cascade
castellum,castellum,"A castellum as defined by the Getty Art and Architecture Thesaurus: Small, ancient Roman fortified towns or outposts.",,https://pleiades.stoa.org/vocabularies/place-types/castellum
castle,castle,A castle as defined by the Getty Art and Architecture Thesaurus: Buildings or groups of buildings intended primarily to serve as a fortified residence of a prince or nobleman.,,https://pleiades.stoa.org/vocabularies/place-types/castle
cemetery,"catacomb, cemetery, necropolis",,,https://pleiades.stoa.org/vocabularies/place-types/cemetery
rapid,"cataract, rapid",,,https://pleiades.stoa.org/vocabularies/place-types/rapid
causeway,causeway,,,https://pleiades.stoa.org/vocabularies/place-types/causeway
cave,cave,"A cave as defined by the Getty Art and Architecture Thesaurus: ""Natural openings in the earth large enough for human exploration.""",,https://pleiades.stoa.org/vocabularies/place-types/cave
cenotaph,cenotaph,"A cenotaph as defined by the Getty Art and Architecture Thesaurus: ""Sepulchral monuments erected to a person or persons buried elsewhere.""",,https://pleiades.stoa.org/vocabularies/place-types/cenotaph
centuriation,centuriation,,,https://pleiades.stoa.org/vocabularies/place-types/centuriation
ceramicproduction,ceramic production facility or area,"A ceramic production facility, plant, or area.",,https://pleiades.stoa.org/vocabularies/place-types/ceramicproduction
channel-artificial,channel (artificial),An artificial water channel as defined by the Getty Art and Architecture Thesaurus: Well-defined channels that carry flowing water and that have been artificially constructed.,,https://pleiades.stoa.org/vocabularies/place-types/channel-artificial
church-2,church,"A church building as defined by the Getty Art and Architecture Thesaurus term 300007466: ""Buildings for public Christian worship that are distinguished historically from chapels and oratories, which are buildings that are in some respect private, or not public in the widest sense. Church architecture generally somewhat follows standard models, which vary depending upon the date, location, and characteristics of the congregation.""",,https://pleiades.stoa.org/vocabularies/place-types/church-2
fortified-church,church (fortified),"A fortified church as defined by the Getty Art and Architecture Thesaurus: Churches fortified with strong walls, towers, and bridges.",,https://pleiades.stoa.org/vocabularies/place-types/fortified-church
church,"church, monastery (deprecated)",Deprecated type derived from a Barrington Atlas symbol.,,https://pleiades.stoa.org/vocabularies/place-types/church
circus,circus,"A circus as defined by the Getty Art and Architecture Thesaurus: ""Oblong ancient Roman enclosures that are curved at one end, with tiered seating on three sides, and built for chariot and horse racing.""",,https://pleiades.stoa.org/vocabularies/place-types/circus
cistern,cistern,"A waterproof receptacle for retaining liquids, as described at http://en.wikipedia.org/wiki/Cistern. Equivalent to aat:300052558.",,https://pleiades.stoa.org/vocabularies/place-types/cistern
citadel,citadel,"A citadel as defined by the Getty Art and Architecture Thesaurus: Fortresses commanding cities or towns, serving to protect and control the inhabitants.",,https://pleiades.stoa.org/vocabularies/place-types/citadel
city-block,city block,"A city block as defined by the Getty Art and Architecture Thesaurus: Pieces of land within urban areas usually bounded on all sides by streets or other transportation routes, natural physical barriers, or public open space and not traversed by through streets.",,https://pleiades.stoa.org/vocabularies/place-types/city-block
city-center,city center,"A city center as defined in Wikidata Q1468524: commercial, cultural and often the historical, political and geographic heart of a city",,https://pleiades.stoa.org/vocabularies/place-types/city-center
coast,"coast, shore","A coast as defined by the GeoNames Ontology: ""a zone of variable width straddling the shoreline""",,https://pleiades.stoa.org/vocabularies/place-types/coast
coastal-change,coastal change,,,https://pleiades.stoa.org/vocabularies/place-types/coastal-change
cultural-landscape,cultural landscape,"A culture landscape as defined by the Getty Art and Architecture Thesaurus: a land or water area significantly altered or modified by human actions; used in contrast to ""natural landscapes,"" that designate areas where human effects, if present, are not ecologically significant to the regions as a whole.",,https://pleiades.stoa.org/vocabularies/place-types/cultural-landscape
dam,"dam, dike, levee",,,https://pleiades.stoa.org/vocabularies/place-types/dam
delta,delta,"A delta as defined by the Getty Art and Architecture Thesaurus: Alluvial deposits at the mouths of rivers commonly forming nearly flat, fan-shaped plains of considerable area traversed by many separate branches of water.",,https://pleiades.stoa.org/vocabularies/place-types/delta
deme-attic,deme (Athenian),An administrative unit of the ancient Athenian state as defined in Wikidata Q672490.,,https://pleiades.stoa.org/vocabularies/place-types/deme-attic
desert,desert,A desert is a barren area of land where little precipitation occurs and consequently living conditions are hostile for plant and animal life. As defined at https://en.wikipedia.org/wiki/Desert,,https://pleiades.stoa.org/vocabularies/place-types/desert
diocese-church,diocese (church),A diocese as defined by the Getty Art and Architecture Thesaurus: Administrative divisions of church government under the authority of a bishop.,,https://pleiades.stoa.org/vocabularies/place-types/diocese-church
diocese-roman,diocese (later Roman Empire),Administrative districts of the Roman Empire introduced under the emperor Diocletian.,,https://pleiades.stoa.org/vocabularies/place-types/diocese-roman
district,district,"A district as defined by the Getty Art and Architecture Thesaurus: territorial divisions as for administrative or electoral purposes, or settlement areas with distinguishing characteristics.",,https://pleiades.stoa.org/vocabularies/place-types/district
ditch,ditch,"A ditch as defined by the Getty Art and Architecture Thesaurus: ""Long narrow excavations, usually with sloping sides, dug in the earth for defense, drainage, or irrigation.""",,https://pleiades.stoa.org/vocabularies/place-types/ditch
earthwork,earthwork,An earthwork.,,https://pleiades.stoa.org/vocabularies/place-types/earthwork
ekklesiasterion,ekklesiasterion,A type of Greek building used for public assemblies.,,https://pleiades.stoa.org/vocabularies/place-types/ekklesiasterion
escarpment,escarpment,"An escarpment as defined by the Getty Art and Architecture Thesaurus: Steep slopes in front of fortifications. Also, long, steep cliffs or slopes resulting from erosion, and which separate two comparatively level surfaces.",,https://pleiades.stoa.org/vocabularies/place-types/escarpment
estate,estate,,,https://pleiades.stoa.org/vocabularies/place-types/estate
estuary,estuary,An estuary as defined by the Getty Art and Architecture Thesaurus: Category of marine body of water comprising areas where freshwater streams or rivers merge with the ocean.,,https://pleiades.stoa.org/vocabularies/place-types/estuary
false,false place,"A putative place, now rejected, that originally resulted from ancient scribal error, research mistake, or erroneous modern scholarship. Not to be confused with fictional places.",,https://pleiades.stoa.org/vocabularies/place-types/false
farm,farm,A farm as defined by the Getty Art and Architecture Thesaurus: Complexes where plants or animals are raised for livelihood or commerce.,,https://pleiades.stoa.org/vocabularies/place-types/farm
fiction,fictional place,A demonstrably non-existent place invented or perpetuated by ancient sources.,,https://pleiades.stoa.org/vocabularies/place-types/fiction
field,field,"A field as defined by the Getty Art and Architecture Thesaurus: ""Open land as opposed to woodland or land occupied by buildings""",,https://pleiades.stoa.org/vocabularies/place-types/field
findspot,"findspot, place of finding, find place","A find place as defined by the Getty Art and Architecture Thesaurus: ""In archaeology and related disciplines, the location where an object, artifact, or another thing or things were found.""",,https://pleiades.stoa.org/vocabularies/place-types/findspot
fishpond,fishpond(s),"A fishpond or system of fishponds as defined in Wikidata: body of standing water, man-made and non perennial, used for pisciculture.",,https://pleiades.stoa.org/vocabularies/place-types/fishpond
forest,forest,,,https://pleiades.stoa.org/vocabularies/place-types/forest
fort-2,fort,"A fort as defined by the Getty Art and Architecture Thesaurus: Permanent fortifications for troops, often surrounded by such elements as ditches, parapets, and ramparts and often used as advance posts in or near hostile territory.",,https://pleiades.stoa.org/vocabularies/place-types/fort-2
fort-group,fort group,,,https://pleiades.stoa.org/vocabularies/place-types/fort-group
fort,"fort, tower (deprecated)",,,https://pleiades.stoa.org/vocabularies/place-types/fort
fortlet,fortlet,"A fortlet as defined by the Getty Art and Architecture Thesaurus: Small or rudimentary forts, especially in the Roman period.",,https://pleiades.stoa.org/vocabularies/place-types/fortlet
forum,forum,"A forum as defined by the Getty Art and Architecture Thesaurus: In ancient Roman settlements, open spaces used as marketplaces or general public meeting places and places for judicial and public business.",,https://pleiades.stoa.org/vocabularies/place-types/forum
fountain,fountain,"An architectural feature that furnishes water for drinking, washing or aesthetic display into a built basin of some kind.",,https://pleiades.stoa.org/vocabularies/place-types/fountain
frontier-system-limes,"frontier system, limes","A border defensive system, as described at http://en.wikipedia.org/wiki/Limes",,https://pleiades.stoa.org/vocabularies/place-types/frontier-system-limes
garden-hortus,"garden, hortus","A garden is a planned space, usually outdoors, set aside for the display, cultivation, and enjoyment of plants and other forms of nature, as described at https://en.wikipedia.org/?title=Garden",,https://pleiades.stoa.org/vocabularies/place-types/garden-hortus
city-gate,"gate (of a city), city gate",,,https://pleiades.stoa.org/vocabularies/place-types/city-gate
gateway,gateway,"A gateway as defined by the Getty Art and Architecture Thesaurus: Passages through fences or walls separating two exterior spaces, or the structures or ornamental constructions enclosing such passages",,https://pleiades.stoa.org/vocabularies/place-types/gateway
gorge,gorge,"A gorge (landform) as defined by the Getty Art and Architecture Thesaurus: Deep, rocky land depressions with steep sides, larger than ravines, with a river or stream at the bottom; distinct from ""canyons,"" which tend to be larger and less rocky.",,https://pleiades.stoa.org/vocabularies/place-types/gorge
grama,grama/gama,A village/hamlet (Sanskrit and prakrits),,https://pleiades.stoa.org/vocabularies/place-types/grama
grove,grove,"A grove as defined by the Getty Art and Architecture Thesaurus: ""Groups of trees, often of a single species, smaller than forests in extent, growing naturally or planted in formation, and generally with little or no undergrowth.""",,https://pleiades.stoa.org/vocabularies/place-types/grove
gulf,gulf,"A gulf as defined by the Getty Art and Architecture Thesaurus: ""Large inlets of the sea, usually more enclosed and more deeply indented than bays.""",,https://pleiades.stoa.org/vocabularies/place-types/gulf
gymnasium,"gymnasium, gymnasion","A gymnasium as defined by the Getty Art and Architecture Thesaurus term 300007297: Buildings designed and equipped for indoor, or, in antiquity, indoor and outdoor, sports, exercise, or physical education and training and usually including changing rooms and bath or shower facilites; in ancient Greece, often combined with educational facilities; generally larger than ""palaestrae.""",,https://pleiades.stoa.org/vocabularies/place-types/gymnasium
harbor,harbor,A harbor as defined by the Getty Art and Architecture Thesaurus: Well-sheltered inlets of water affording protection from wind and sea and sufficient depth to allow anchorage for vessels.,,https://pleiades.stoa.org/vocabularies/place-types/harbor
hill,hill,"A hill as defined by the Getty Art and Architecture Thesaurus: ""Elevation of earth's surface, smaller than a mountain.""",,https://pleiades.stoa.org/vocabularies/place-types/hill
hillfort,hillfort,A hillfort as defined by the Getty Art and Architecture Thesaurus: Defensive enclosures comprised of ramparts and ditches encircling a fortified structure on a central prominence; common in Bronze Age and Iron Age Europe.,,https://pleiades.stoa.org/vocabularies/place-types/hillfort
house,house,"A house as defined by the Getty Art and Architecture Thesaurus: ""Individual dwellings designed to be occupied by a single tenant or family. May also refer to a building for human occupation, for some purpose other than that of an ordinary dwelling.""",,https://pleiades.stoa.org/vocabularies/place-types/house
hunting-base,hunting base,A hunting base as defined by the Getty Art and Architecture Thesaurus: Operational centers of any size used for activities surrounding hunting,,https://pleiades.stoa.org/vocabularies/place-types/hunting-base
island,island,"An island as defined by the Getty Art and Architecture Thesaurus: ""Landforms smaller than a continent, completely surrounded by water at high water. Islands appear in oceans, seas, lakes, or rivers.""",,https://pleiades.stoa.org/vocabularies/place-types/island
isthmus,isthmus,a narrow strip of land connecting two larger land areas.,,https://pleiades.stoa.org/vocabularies/place-types/isthmus
kingdom,kingdom,"A kingdom as defined by the Getty Art and Architecture Thesaurus: ""Administrative bodies subject to a king or queen.""",,https://pleiades.stoa.org/vocabularies/place-types/kingdom
lagoon,lagoon,A lagoon is a shallow body of water separated from a larger body of water by barrier islands or reefs.,,https://pleiades.stoa.org/vocabularies/place-types/lagoon
lake,lake,"Lake or Lacus (Latin), abbreviated: L. As defined by the Getty Art and Architecture Thesaurus: ""Bodies of fresh or salt water surrounded by land.""",,https://pleiades.stoa.org/vocabularies/place-types/lake
landmark,landmark,"A landmark as defined by the Getty Art and Architecture Thesaurus: ""Conspicuous monuments, fixed objects, or markers that serve as guides in the direction of one's course, characterize a neighborhood, or establish the location of land boundaries or property.""",,https://pleiades.stoa.org/vocabularies/place-types/landmark
league,"league, organization, association","A league/organization/association as defined by the Getty Art and Architecture Thesaurus: Collections of people, groups, or nations that join for mutual protection or cooperation, or for another purpose.",,https://pleiades.stoa.org/vocabularies/place-types/league
lesche,lesche,"A lesche as defined in Wikidata: ""ancient Greek council house or clubhouse""",,https://pleiades.stoa.org/vocabularies/place-types/lesche
lighthouse,lighthouse,"A lighthouse as defined by the Getty Art and Architecture Thesaurus: Towers or other structures equipped with a powerful light or lights (originally a signal fire) at the top, erected at important or dangerous points on or near the coast for the guidance of mariners.",,https://pleiades.stoa.org/vocabularies/place-types/lighthouse
lime-kiln,lime kiln,"A lime kiln as defined by the Getty Art and Architecture Thesaurus: Furnace-type apparatus, usually long, tilted cylinders, that are slowly rotated; used to heat calcium carbonate above 900 degrees centigrade to produce lime.",,https://pleiades.stoa.org/vocabularies/place-types/lime-kiln
macellum,macellum,A macellum as defined by the Getty Art and Architecture Thesaurus: Designates ancient Roman meat markets; may also be used more generally for ancient Roman food markets.,,https://pleiades.stoa.org/vocabularies/place-types/macellum
label,map label location,"For locations: position or extent of a label placed on a map e.g., for a region, people, or province",,https://pleiades.stoa.org/vocabularies/place-types/label
meadow,meadow,"A meadow as defined by the Getty Art and Architecture Thesaurus: ""Large open tracts of grassland, sometimes used for pasture.""",,https://pleiades.stoa.org/vocabularies/place-types/meadow
metalworking,metalworking facility,"A metalworking facility, plant, or area as defined by the Getty Art and Architecture Thesaurus: Structures comprising the buildings, machinery, apparatus, and fixtures required to shape or process metal into products on an industrial level.",,https://pleiades.stoa.org/vocabularies/place-types/metalworking
milestone,milestone,"A milestone as defined by the Getty Art and Architecture Thesaurus: Stones, slabs, or pillars of any material, set by the side of a road to mark distances between one point and another; most often distances between cities.",,https://pleiades.stoa.org/vocabularies/place-types/milestone
military-base,military base,A military base as defined by the Getty Art and Architecture Thesaurus.,,https://pleiades.stoa.org/vocabularies/place-types/military-base
military-installation-or-camp-temporary,"military installation or camp, temporary",,,https://pleiades.stoa.org/vocabularies/place-types/military-installation-or-camp-temporary
mine-2,mine,"A mine as defined by the Getty Art and Architecture Thesaurus: Excavation or systems of excavations, including pits or tunnels, made underground for the extraction of metals, metallic ores, coal, salt, precious stones, building stone, clay, or another substance, or an open-air excavation for the extraction of such substances.",,https://pleiades.stoa.org/vocabularies/place-types/mine-2
mine,"mine, quarry (deprecated)",Deprecated type derived from a Barrington Atlas symbol.,,https://pleiades.stoa.org/vocabularies/place-types/mine
monastery,monastery,"A monastery as defined by the Getty Art and Architecture Thesaurus: Built complexes for religious retirement or seclusion from the world for monks, who are people living a celibate life according to the rule of a particular religious order and adhering to vows, especially of poverty, chastity, and obedience.",,https://pleiades.stoa.org/vocabularies/place-types/monastery
monument,monument,"A monument as defined by the Getty Art and Architecture Thesaurus term 300006958: ""Structures or edifices of importance or historical interest, typically erected in memory of the dead or of an important event.""",,https://pleiades.stoa.org/vocabularies/place-types/monument
mosque,mosque,,,https://pleiades.stoa.org/vocabularies/place-types/mosque
mound,mound,"A mound as defined by the Getty Art and Architecture Thesaurus: "" Piles of earth heaped up for landmarks, monuments, or as bases for other structures.""",,https://pleiades.stoa.org/vocabularies/place-types/mound
mountain,mountain,"A mountain as defined by the Getty Art and Architecture Thesaurus: Prominent landforms rising considerably above the surrounding area, typically having steep slopes, a sharp summit area, and large mass. Mountains rarely occur individually, and in most cases, are found in ranges, chains, or systems.",,https://pleiades.stoa.org/vocabularies/place-types/mountain
nome-gr,nome (greek/roman),Administrative regions of ancient Egypt as employed during the periods of Ptolemaic and Roman rule.,,https://pleiades.stoa.org/vocabularies/place-types/nome-gr
nome-egyptian,nome (pharaonic),Regions of ancient Egypt introduced during the Old Kingdom.,,https://pleiades.stoa.org/vocabularies/place-types/nome-egyptian
nuraghe,nuraghe,"A nuraghe as defined by the Getty Art and Architecture Thesaurus term 300004838: ""Ancient Sardinian towerlike structures, dating from the Bronze and Iron Ages; generally associated with villages, built on hilltops, and having tapering sides and corbel-vaulted interior spaces. Many are large, but others are small. The purpose and function of the structures are not entirely understood; among the possible uses are location markers, religious temples, rulers' residences, military strongholds, or meeting halls.""",,https://pleiades.stoa.org/vocabularies/place-types/nuraghe
oasis,oasis,,,https://pleiades.stoa.org/vocabularies/place-types/oasis
odeon,odeon,An odeon as defined by the Getty Art and Architecture Thesaurus: Buildings or other roofed structures used for musical performances.,,https://pleiades.stoa.org/vocabularies/place-types/odeon
pagus,pagus,"A rural district in the Roman world including scattered hamlets or villages that can be referred to as vici. Alternatively, pagus can be construed as a fortified center in such a district.",,https://pleiades.stoa.org/vocabularies/place-types/pagus
palace,palace,"A palace as defined by the Getty Art and Architecture Thesaurus: Official residences, frequently large and impressively appointed, of sovereigns or other high dignitaries",,https://pleiades.stoa.org/vocabularies/place-types/palace
palace-complex,palace complex,A palace complex as defined by the Getty Art and Architecture Thesaurus: Complexes of built works surrounding the palace or palaces of a ruler,,https://pleiades.stoa.org/vocabularies/place-types/palace-complex
palaestra,palaestra,"A palaestra as defined by the Getty Art and Architecture Thesaurus: ""Ancient Greek or Roman buildings for training in wrestling or other athletic endeavors. Palaestrae were often part of public gymnasia, although some functioned independently. The floorplan of palaestrae was standardized, usually comprising a rectangular court surrounded by colonnades with adjoining rooms devoted to activities such as undressing, bathing, socializing, observation, instruction, and storage.""",,https://pleiades.stoa.org/vocabularies/place-types/palaestra
palaistra,palaistra,"A square or rectangular court, usually surrounded by colonnades, that formed part of a Greek-style athletic complex.",,https://pleiades.stoa.org/vocabularies/place-types/palaistra
paradise-garden,"paradise garden, park","A paradise garden as defined by the Getty Art and Architecture Thesaurus: ""Gardens often provided with shade, flowing water, pavilions, and elaborate plantings for private enjoyment; common in Islamic countries.""",,https://pleiades.stoa.org/vocabularies/place-types/paradise-garden
pass,"pass, ""gates"" (landform)",A pass as defined by the Getty Art and Architecture Thesaurus: Refers to narrow routes through or gaps in mountain ranges allowing passage across.,,https://pleiades.stoa.org/vocabularies/place-types/pass
peninsula,peninsula,"A peninsula as defined by the Getty Art and Architecture Thesaurus: ""Landforms surrounded by water on three sides, not completey independent from the mainland.""",,https://pleiades.stoa.org/vocabularies/place-types/peninsula
people,"people, tribe (historical cultural group)","A historical cultural group as defined by the Getty Art and Architecture Thesaurus: Societies or groups of people who once existed and were characterized by common ideas, customs, or social behavior within a particular nation or people and period.",,https://pleiades.stoa.org/vocabularies/place-types/people
piscina-roman,"piscina (pool, Roman)","A Roman piscina as defined by the Getty Art and Architecture Thesaurus: ""A reservoir of water used as a swimming pool or fish pond inside a Roman home or public bath.""",,https://pleiades.stoa.org/vocabularies/place-types/piscina-roman
pit,pit,"A pit as defined by the Getty Art and Architecture Thesaurus: Cavities in the earth, usually not below ground water level, that are shallow in proportion to their width and generally created for materials extraction or burial.",,https://pleiades.stoa.org/vocabularies/place-types/pit
place,place (distinct area),"A place as defined by the Getty Art and Architecture Thesaurus: ""A space or area within the lived world of daily experience, perceived as distinct and unified, and possessing emotional, purposive, and social connotations along with physical features and characteristics.""",,https://pleiades.stoa.org/vocabularies/place-types/place
plain,plain,"A plain as defined by the Getty Art and Architecture Thesaurus: ""Extensive areas of land having few inequalities of surface, being usually fairly flat and at low elevation.""",,https://pleiades.stoa.org/vocabularies/place-types/plain
plateau,plateau,"an area of relatively level high ground, as described at https://en.wikipedia.org/wiki/Plateau.",,https://pleiades.stoa.org/vocabularies/place-types/plateau
platform,platform,"A platform as defined by the Getty Art and Architecture Thesaurus: Flat surfaces, blocks, or floors, generally raised above the adjoining floor",,https://pleiades.stoa.org/vocabularies/place-types/platform
polis,polis,A polis as defined by the Getty Art and Architecture Thesaurus: An ancient Greek city state.,,https://pleiades.stoa.org/vocabularies/place-types/polis
port,port,,,https://pleiades.stoa.org/vocabularies/place-types/port
portico,portico,"A portico as defined by the Getty Art and Architecture Thesaurus: ""Roofed porchlike spaces, open along at least one side and usually associated with an entrance, supported by columns and often surmounted by a pediment; porticoes may project from the main building mass or be recessed in it.""",,https://pleiades.stoa.org/vocabularies/place-types/portico
postern,postern,"A postern as defined by the Getty Art and Architecture Thesaurus: Secondary, and often inconspicuous back doors or gates, especially to fortified or walled enclosures; may also be used for minor, private or side entrances.",,https://pleiades.stoa.org/vocabularies/place-types/postern
priory,priory,"A priory as defined by the Getty Art and Architecture Thesaurus: independent and canonically erected monasteries, ruled by an abbot if occupied by monks and by an abbess if occupied by nuns.",,https://pleiades.stoa.org/vocabularies/place-types/priory
production,"production center (manufacturing, fishing)",,,https://pleiades.stoa.org/vocabularies/place-types/production
province-2,province,"A province as defined by the Getty Art and Architecture Thesaurus: The constituent political and administrative divisions within various sovereign states, including historic ones such as the Roman Empire and modern nations under a federal system such as Canada and Spain.",,https://pleiades.stoa.org/vocabularies/place-types/province-2
province,"province, diocese, nome (deprecated)",An administrative region,,https://pleiades.stoa.org/vocabularies/place-types/province
prytaneion,prytaneion,"A prytaneion as defined by the Getty Art and Architecture Thesaurus: ""Public halls in ancient Greek cities where the sacred hearth and official headquarters of the city administration were housed and where official guests were entertained.""",,https://pleiades.stoa.org/vocabularies/place-types/prytaneion
pyramid,pyramid,"A pyramid as defined by the Getty Art and Architecture Thesaurus term 300004838: ""Monumental structures with a square or triangular base and inclined triangular sides, usually meeting at a point. The most famous pyramids are those used as mausolea in ancient Egypt; they were focal points of much larger funerary complexes. However, pyramids, usually with flat tops, are also found in Central America, where they were used as platforms for altars or temples, occasionally also covering the burial chamber of a ruler.""",,https://pleiades.stoa.org/vocabularies/place-types/pyramid
quarry,quarry,A quarry as defined by the Getty Art and Architecture Thesaurus: Open-air excavations from which stone for building or other purposes is or has been obtained by cutting or blasting.,,https://pleiades.stoa.org/vocabularies/place-types/quarry
reef,reef,"A reef as defined by the Getty Art and Architecture Thesaurus: Ranges of rock, coral, or sand with their surface at or just above the low tide mark.",,https://pleiades.stoa.org/vocabularies/place-types/reef
regio-augusti,regio (Augustan region of Italia),Geographic district of Italia as defined by the Roman emperor Augustus.,,https://pleiades.stoa.org/vocabularies/place-types/regio-augusti
region,region,"A historical region as defined by the Getty Art and Architecture Thesaurus: ""Areas that were bound in the past by culture, economics, topography, or another characteristic, and that have historical importance.""",,https://pleiades.stoa.org/vocabularies/place-types/region
reservoir,"reservoir, hafir",,,https://pleiades.stoa.org/vocabularies/place-types/reservoir
ridge,ridge,A ridge as defined by the Getty Art and Architecture Thesaurus: Ridges are elongated strips of elevated ground that may be either on dry land or underwater.,,https://pleiades.stoa.org/vocabularies/place-types/ridge
mouth,river mouth,A river mouth as defined by the Getty Art and Architecture Thesaurus: Points where rivers open into larger bodies of water.,,https://pleiades.stoa.org/vocabularies/place-types/mouth
river,"river, drainage","A river as defined by the Getty Art and Architecture Thesaurus: ""Bodies of water flowing in direct course or a series of divergents or converging channels.""",,https://pleiades.stoa.org/vocabularies/place-types/river
